Scalar, 16, 6343537, 43312, 100000, 63
SSE4, 16, 4039089, 5081, 100000, 40
AVX2, 16, 6214786, 62734, 100000, 62
Scalar, 32, 7759447, 744, 100000, 77
SSE4, 32, 4735778, 1171, 100000, 47
AVX2, 32, 5890751, 44450, 100000, 58
Scalar, 64, 10985426, 22867, 100000, 109
SSE4, 64, 4412130, 60, 100000, 44
AVX2, 64, 5045223, 27831, 100000, 50
Scalar, 128, 20675120, 133816, 100000, 206
SSE4, 128, 5584642, 218, 100000, 55
AVX2, 128, 5380348, 42227, 100000, 53
Scalar, 256, 37573048, 61316, 100000, 375
SSE4, 256, 6092345, 6892, 100000, 60
AVX2, 256, 5233429, 41936, 100000, 52
Scalar, 512, 73890927, 896458, 100000, 738
SSE4, 512, 8968024, 83272, 100000, 89
AVX2, 512, 5705615, 15559, 100000, 57
Scalar, 1024, 139197484, 281325, 100000, 1391
SSE4, 1024, 19451274, 29278, 100000, 194
AVX2, 1024, 10318747, 23045, 100000, 103
